ID,API_NUMBER,WELLTYPE,DEPTH,ISWSPNUM,VERIFIED_BY,VERIFIED_NOTES,VERIFIED_DATE,BEDROCK_DEPTH,VLQ,VLC,LATITUDE,LONGITUDE,ELEV_FT,BEDROCK_ELEV_FT,BEDROCK_ELEV_M
2698,121192827800, ,0.0,nan,DAG,small exposure in bank trib to E Frk Wd,5/13/2003 0:00:00,7.0,nan,nan,38.957377,-90.068669,493.9324951,486.9324951,148.41702450648
2699,121192828300, ,0.0,nan,DAG,on upland near edge of field N of house,2/19/2003 0:00:00,71.0,nan,nan,38.950815,-89.944831,564.9979858,493.99798580000004,150.57058607184
2700,121192828400,nan,0.0,nan,DAG,West of James Dr. NE of house,2/20/2003 0:00:00,150.0,nan,nan,38.916517,-89.947237,526.7067871,376.70678710000004,114.82022870808002
2701,121192828800, ,0.0,nan,DAG,NE side of house,3/4/2003 0:00:00,87.0,nan,nan,38.936648,-90.012377,550.1796875,463.1796875,141.17716875000002
2702,121192830100,STRAT,0.0,nan,DAG,updated from 3/2004 by ACP.,3/6/2009 0:00:00,108.0,nan,nan,38.713337,-89.79805,485.9516296,377.9516296,115.19965670208
2703,121192830200,STRAT,0.0,nan,ACP,"DOQ, US40 and Triad Rd.",3/4/2004 0:00:00,93.0,nan,nan,38.716525,-89.814309,464.8720703,371.8720703,113.34660702744002
2704,121192830300,STRAT,0.0,nan,CJS,restate - 1 bad; GPS +-1',3/9/2004 0:00:00,124.0,nan,nan,38.801495,-89.812355,512.4127808,388.41278079999995,118.38821558784
2705,121192830800, ,0.0,nan,DAG,nan,10/27/2003 0:00:00,15.0,nan,nan,38.983668,-89.828187,527.2503052,512.2503052,156.13389302496
2706,121192832300,STRAT,0.0,nan,DAG,nan,3/15/2004 0:00:00,143.0,nan,nan,38.959768,-89.861155,561.7730713,418.77307129999997,127.64203213224
2707,121192832400,STRAT,0.0,nan,DAG,nan,3/10/2004 0:00:00,128.0,nan,nan,38.831951,-89.791477,525.7312012,397.7312012,121.22847012576
2708,121192832500,STRAT,0.0,nan,DAG,nan,3/11/2004 0:00:00,131.0,nan,nan,38.852793,-89.859104,520.0518799,389.0518799,118.58301299352001
2709,121192832600,nan,0.0,nan,DAG,> 50' dense sand flowing up into hole,6/2/2004 0:00:00,83.0,nan,nan,38.857294,-90.010897,489.6351929,406.6351929,123.94240679592001
2710,121192838700, ,0.0,nan,ACP,"based on DOQ, bridge center Hickory Flat",10/5/2004 0:00:00,27.0,nan,nan,38.742362,-89.749929,470.8824158,443.8824158,135.29536033584
2711,121192838800, ,0.0,nan,ACP,"based on DOQ, bridge center Hickory Flat",6/22/2004 0:00:00,31.0,nan,nan,38.742362,-89.749929,470.8824158,439.8824158,134.07616033584
2712,121192838900, ,0.0,nan,ACP,using DOQ,6/22/2004 0:00:00,49.0,nan,nan,38.756926,-89.750756,475.0615234,426.0615234,129.86355233232
2713,121192839100,STRAT,0.0,nan,ACP,"20'N powerlines, irreg sec,hac=10,vac=5",6/9/2004 0:00:00,21.0,nan,nan,38.717826,-89.843073,463.5257263,442.5257263,134.88184137624
2714,121192839200,STRAT,0.0,nan,ACP,"20'E tel pole W USGS gage,hac=20,vac=5",6/9/2004 0:00:00,51.0,nan,nan,38.717082,-89.83047,447.2211914,396.2211914,120.76821913872001
2715,121192840200,nan,,nan,QCP,nan,1/18/2005 0:00:00,30.0,nan,nan,38.711691,-89.941374,539.8544312,509.8544312,155.40363062976002
2716,121192840300,nan,,nan,ACP,nan,1/18/2005 0:00:00,30.0,nan,nan,38.711691,-89.941374,539.8544312,509.8544312,155.40363062976002
2717,121192841700, ,0.0,nan,ACP,location DOQ station # w/no off set,10/18/2004 0:00:00,36.0,nan,nan,38.755563,-89.637457,475.8552246,439.8552246,134.06787245808
2718,121192841800,nan,,nan,ACP,location DOQ station # w/no off set,10/18/2004 0:00:00,38.0,nan,nan,38.755561,-89.637542,475.2005005,437.2005005,133.2587125524
2719,121192841900,nan,,nan,ACP,location DOQ station # w/no off set,10/18/2004 0:00:00,38.0,nan,nan,38.755408,-89.637771,486.8642273,448.8642273,136.81381648104
2720,121192842000,nan,,nan,ACP,location DOQ station # w/no off set,10/18/2004 0:00:00,30.0,nan,nan,38.755436,-89.637683,485.6724854,455.6724854,138.88897354992002
2721,121192842600, ,0.0,nan,ACP,bridge center,10/18/2004 0:00:00,18.0,nan,nan,38.70099,-89.665742,478.9698792,460.9698792,140.50361918016
2722,121192843400,nan,,nan,ACP,horizontal accuracy +/- 30',11/3/2004 0:00:00,14.0,nan,nan,38.693623,-89.688728,493.1473694,479.1473694,146.04411819312
2723,121192843500,nan,,nan,ACP,horizontal accuracy +/- 30',11/3/2004 0:00:00,14.0,nan,nan,38.693623,-89.688728,493.1473694,479.1473694,146.04411819312
2724,121192843600,nan,,nan,ACP,adjacent structure shown on map,11/1/2004 0:00:00,32.0,nan,nan,38.738429,-89.694116,536.1604614,504.16046140000003,153.66810863472003
2725,121192843700,nan,,nan,ACP,adjacent structure shown on map,11/1/2004 0:00:00,32.0,nan,nan,38.738429,-89.694116,536.1604614,504.16046140000003,153.66810863472003
2726,121192844100,nan,,nan,ACP,"on existing structure, NAIP 2004",7/8/2005 8:50:39,18.0,nan,nan,38.760524,-89.684028,539.1282349,521.1282349,158.83988599752
2727,121192844200,nan,,nan,ACP,"on existing structure, NAIP 2004",7/8/2005 8:50:39,13.0,nan,nan,38.760524,-89.684028,539.1282349,526.1282349,160.36388599752001
2728,121192847300,nan,,nan,ACP,elevation is assuming upper 5' is fill,12/7/2004 0:00:00,48.0,nan,nan,38.693408,-89.835434,435.2704468,387.2704468,118.04003218464001
2729,121192847400,nan,,nan,ACP,nan,12/7/2004 0:00:00,48.0,nan,nan,38.693389,-89.835117,446.0242615,398.0242615,121.31779490520002
2730,121192847600,nan,,nan,ACP,S. edge of pavement on W abutment,12/16/2004 0:00:00,72.0,nan,nan,38.729778,-89.630454,483.9481201,411.9481201,125.56178700648
2731,121192847700,nan,,nan,ACP,S. edge of pavement E abutment,12/16/2004 0:00:00,72.0,nan,nan,38.729571,-89.630006,484.4431763,412.4431763,125.71268013624001
2732,121192847800,STRAT,0.0,nan,nan,GPS 89.3917.15; 384837.71,nan,35.0,nan,nan,38.810445,-89.654236,545.586853,510.586853,155.62687279440001
2733,121192847900,MONIT,0.0,366771.0,ACP,"Toe of ridge, well TD from D. Phillips",nan,35.0,nan,nan,38.865782,-90.133151,424.6447754,389.6447754,118.76372754192
2734,121192851200,STRAT,0.0,nan,JRA,38 49 16.12086 - 89 38 55.53950,4/29/2005 0:00:00,98.0,nan,nan,38.820828,-89.648605,610.1613159,512.1613159,156.10676908632
2735,121192851400, ,0.0,nan,JGA,20' west of grain bins,2/23/2005 0:00:00,68.0,nan,nan,38.766474,-89.742355,527.3308105,459.3308105,140.0040310404
2736,121192851500, ,0.0,nan,JRA,"N38 58 02.1, W089 43 33.8,drld w/CME 75",2/25/2005 0:00:00,143.0,nan,nan,38.96727,-89.726085,594.0319214,451.0319214,137.47452964272
2737,121192851600,STRAT,0.0,nan,DAG,"drld by Grimley/Aud,drld CME 75,3.25""agr",3/2/2005 0:00:00,68.0,nan,nan,38.845025,-89.695608,560.3326416,492.3326416,150.06298915968
2738,121192851700,STRAT,0.0,nan,DAG,"drld by Grimley/Aud, CME 75 (3.25"" auger",3/2/2005 0:00:00,78.0,nan,nan,38.849604,-89.744365,545.1280518,467.1280518,142.38063018864
2739,121192851800, ,0.0,nan,ACP,20' E of farm access on south ROW,nan,127.0,nan,nan,38.663088,-89.813098,493.8004761,366.8004761,111.80078511528001
2740,121192851900,STRAT,0.0,nan,ACP,GPS38.43.31; 89.40.50 SW corner of shed,3/3/2005 0:00:00,101.0,nan,nan,38.72539,-89.680734,585.8196411,484.8196411,147.77302660728
2741,121192852100,STRAT,0.0,nan,ACP,nan,nan,23.0,nan,nan,38.663214,-89.691293,492.328186,469.328186,143.0512310928
2742,121192852200,STRAT,0.0,nan,ACP,nan,nan,24.0,nan,nan,38.662803,-89.691281,494.9250488,470.9250488,143.53795487424
2743,121192914300,nan,,nan,DAG," 38.719661,-90.006800",12/19/2007 0:00:00,23.0,nan,nan,38.719661,-90.0068,497.9596252,474.9596252,144.76769376096001
2744,121192944200,nan,,nan,ACP,nan,6/10/2009 0:00:00,10.0,nan,nan,38.996853,-89.921341,557.5165405,547.5165405,166.88304154440002
2745,121192944900,nan,,nan,ACP,nan,6/10/2009 0:00:00,30.0,nan,nan,38.985233,-89.905034,559.2861938,529.2861938,161.32643187024001
2746,121192945000,nan,,nan,ACP,nan,6/10/2009 0:00:00,8.0,nan,nan,38.985053,-89.905373,518.6436157,510.64361570000005,155.64417406536003
2747,121192945100,nan,,nan,ACP,nan,6/10/2009 0:00:00,4.0,nan,nan,38.985736,-89.90531,535.1904907,531.1904907,161.90686156536003
2748,121192946100,nan,,nan,CJS,"corrected GPS, 38 deg. 39' 45.45457"" N, 89 deg. 46' 36.11751"" W",1/4/2011 0:00:00,44.0,nan,nan,38.662639,-89.776694,484.0494995,440.0494995,134.12708744760002
2749,121192946500,nan,,nan,ACP,bedrock top 120.5',4/25/2011 0:00:00,121.0,nan,nan,38.674375,-89.785597,526.6495361,405.6495361,123.64197860328
2750,121192946800,STRAT,,nan,ACP,corrected GPS,5/17/2010 0:00:00,235.0,nan,nan,38.656036,-89.811386,607.7089844,372.70898439999996,113.60169844512
2751,121192949600,nan,,nan,ACP,location map,11/16/2010 0:00:00,97.0,nan,nan,38.667711,-90.176526,427.136261,330.136261,100.62553235280001
2752,121192949700,nan,,nan,ACP,location map,11/16/2010 0:00:00,99.0,nan,nan,38.667112,-90.176924,422.9295654,323.9295654,98.73373153392001
2753,121192949800,nan,,nan,ACP,location map,11/16/2010 0:00:00,93.0,nan,nan,38.666981,-90.177276,419.7238159,326.7238159,99.58541908632
2754,121192949900,TH,,nan,CJS,"38 deg. 39' 25.37658"" N, 89 deg. 46' 35.68016"" W",1/4/2011 0:00:00,137.0,nan,nan,38.657049,-89.776578,464.6139526,327.6139526,99.85673275248001
2755,121192954800,nan,,nan,JW,Julia Waldsmith / Dave Grimley,8/29/2011 0:00:00,127.0,nan,nan,38.879599,-90.184062,419.864563,292.864563,89.2651188024
2756,121192954900,nan,,nan,JW,Julia Waldsmith / D. Grimley,8/29/2011 0:00:00,126.0,nan,nan,38.879878,-90.183362,417.3166809,291.3166809,88.79332433832
2757,121192955100,nan,,nan,JW,Julia Waldsmith / Davic Grimley,8/29/2011 0:00:00,123.0,nan,nan,38.880295,-90.182488,417.3210144,294.3210144,89.70904518912002
2758,121192959100,nan,,nan,DAG,stream bank exposure on N & S side of Coal Branch Crk 40 yds E of culvert going under Rt 67,nan,8.0,nan,nan,38.9301,-90.186843,597.5285034,589.5285034,179.68828783632
2759,121192959800,nan,,nan,DAG,"Grimley & McKay, north end of west highwall, Lohr Quarry",nan,27.0,nan,nan,38.997164,-90.240703,432.4653015,405.4653015,123.58582389720002
2760,121192961100,nan,,nan,DAG,borrow pit into nose of hill on west side of Belle Street,nan,43.0,nan,nan,38.906712,-90.187198,540.6880493,497.6880493,151.69531742664
2761,121192961300,nan,,nan,DAG,"road cuts exposing lowest bedrock, west side of Clifton Terrace Road",nan,6.0,nan,nan,38.931456,-90.256448,527.0351563,521.0351563,158.81151564024003
2762,121192961400,nan,,nan,DAG,"road cuts exposing highest bedrock, west side of Clifton Terrace Road",nan,10.0,nan,nan,38.936849,-90.254063,581.1245728,571.1245728,174.07876978944
2763,121192962000,nan,,nan,DAG,gully along east side of road,nan,10.0,nan,nan,38.980379,-90.254166,552.7012939,542.7012939,165.41535438072
2764,121330000300,nan,0.0,407970.0,ZPK,"ISWS well #2, estimated from footages",2/26/2008 0:00:00,17.0,nan,nan,38.305253,-89.990111,464.8181458,447.8181458,136.49497083984002
2765,121330000700, ,0.0,nan,ACP,COE map; ISGS Lib #4102 n2-4,1/1/1999 0:00:00,113.0,nan,nan,38.511031,-90.253344,404.2036743,291.2036743,88.75887992664
2766,121330001300,nan,0.0,nan,ZPK,Based on ISWS logs,3/11/2008 0:00:00,70.0,nan,nan,38.284016,-89.947164,428.6123047,358.6123047,109.30503047256
2767,121330001400,nan,0.0,nan,nan,nan,nan,74.0,nan,nan,38.269401,-89.948634,488.2774353,414.2774353,126.27176227944
2768,121330001500,nan,0.0,nan,ZPK,"ISWS logs, loc estimated by footages",2/26/2008 0:00:00,31.0,nan,nan,38.284633,-89.927196,378.0809326,347.0809326,105.79026825648
2769,121330001600,nan,0.0,nan,ZPK,"ISWS logs, loc estimated by footages",2/26/2008 0:00:00,28.0,nan,nan,38.284645,-89.928248,377.7648621,349.7648621,106.60832996808001
2770,121330001800,nan,0.0,nan,ZPK,"ISWS logs, loc estimated by footages",2/26/2008 0:00:00,30.0,nan,nan,38.284637,-89.927548,378.4078064,348.4078064,106.19469939072002
2771,121330001900,nan,0.0,nan,ZPK,"ISWS logs, loc estimated by footages",2/26/2008 0:00:00,31.0,nan,nan,38.284629,-89.926848,379.1607666,348.1607666,106.11940165968001
2772,121330002000,nan,0.0,nan,ZPK,"ISWS logs, loc estimted by footages",2/26/2008 0:00:00,31.0,nan,nan,38.284625,-89.926496,378.4894409,347.4894409,105.91478158632
2773,121330002300,nan,0.0,nan,ZPK,based on footages ISWS logs,3/11/2008 0:00:00,40.0,nan,nan,38.292307,-89.923966,380.4284973,340.4284973,103.76260597704001
2774,121330002400,nan,0.0,nan,ZPK,based on footages ISWS logs,3/22/2008 0:00:00,30.0,nan,nan,38.29175,-89.922908,379.7469788,349.7469788,106.60287913824001
2775,121330002500,nan,0.0,nan,ZPK,PBK USA plot 2.5 mi SE of Hecker (LOG),3/18/2008 0:00:00,60.0,nan,nan,38.288872,-89.950139,475.2266235,415.2266235,126.56107484280001
2776,121330006400,nan,0.0,nan,ZPK,"PBK 51, initails L.S.? only S. until 89",2/20/2008 0:00:00,40.0,nan,nan,38.273276,-89.994383,442.5422974,402.5422974,122.69489224752
2777,121330006500,nan,0.0,nan,ZPK,"PBK 65, placed on Floyd voges plat",2/20/2008 0:00:00,47.0,nan,nan,38.254845,-89.93481,419.5033875,372.5033875,113.53903251
2778,121330006600,nan,0.0,nan,ZPK,E.Bruns in sec 4 PBK 65,3/18/2008 0:00:00,30.0,nan,nan,38.28316,-89.994158,446.2520142,416.2520142,126.87361392816001
2779,121330009300,nan,0.0,nan,ZPK,date/depth do not match ISWS logs,3/11/2008 0:00:00,40.0,nan,nan,38.307469,-89.995479,474.0159607,434.0159607,132.28806482136
2780,121330017100,nan,0.0,nan,BA,nan,nan,25.0,nan,nan,38.383833,-90.149208,679.348999,654.348999,199.44557489520002
2781,121330027900, ,0.0,nan,JMW,51PBK,9/9/2010 0:00:00,112.0,nan,nan,38.3807,-90.289721,399.2746582,287.2746582,87.56131581935999
2782,121330028200,nan,0.0,nan,ZPK,footages from ISWS log,2/26/2008 0:00:00,30.0,nan,nan,38.30557,-89.995364,475.2826843,445.2826843,135.72216217464
2783,121330028300,nan,0.0,nan,nan,no supporting info,nan,60.0,nan,nan,38.301365,-89.989757,459.2279968,399.2279968,121.68469342464002
2784,121330028700,nan,0.0,nan,ZPK,no supporting info,3/11/2008 0:00:00,58.0,nan,nan,38.306715,-90.011457,468.111969,410.111969,125.0021281512
2785,121330028800,nan,0.0,nan,ZPK,"PBK initials WEW, looks like new house",2/19/2008 0:00:00,110.0,nan,nan,38.28511,-90.015815,446.8868408,336.8868408,102.68310907584001
2786,121330028900,nan,0.0,nan,ZPK,PBK 65,2/26/2008 0:00:00,25.0,nan,nan,38.288189,-89.991157,462.6287231,437.6287231,133.38923480088002
2787,121330039600,nan,0.0,nan,ZPK,PBK 69 initials HSC,2/19/2008 0:00:00,73.0,nan,nan,38.280877,-90.016052,449.8372192,376.8372192,114.85998441216
2788,121330041100,nan,0.0,nan,ZPK,PBK 64,2/27/2008 0:00:00,16.0,nan,nan,38.253494,-89.988985,443.4927673,427.4927673,130.29979547304
2789,121330042200,nan,0.0,nan,ZPK,PBK 69,2/19/2008 0:00:00,51.0,nan,nan,38.305398,-90.012195,467.1502686,416.1502686,126.84260186928
2790,121330042300,nan,0.0,nan,ZPK,"ISWS logs, well #4",2/19/2008 0:00:00,55.0,nan,nan,38.305803,-90.010904,467.1413269,412.1413269,125.62067643912002
2791,121330042400,nan,0.0,nan,ZPK,PBK 69,10/26/2007 0:00:00,80.0,nan,nan,38.253361,-89.938,406.9761658,326.9761658,99.66233533584
2792,121330043200,nan,0.0,nan,ACP,structure on 65 - later PBK,2/15/2008 0:00:00,142.0,nan,nan,38.268946,-89.957658,459.6828308,317.6828308,96.82972682783999
2793,121330044200,nan,0.0,nan,ZPK,WEB; yellowpages,3/11/2008 0:00:00,46.0,nan,nan,38.24431,-90.034989,469.718689,423.718689,129.1494564072
2794,121330044800,nan,0.0,nan,ZPK,no supporting info,3/11/2008 0:00:00,20.0,nan,nan,38.301142,-90.006881,460.8123169,440.8123169,134.35959419112
2795,121330045900, ,0.0,nan,JMW,"LOG, station number",11/11/2010 0:00:00,54.0,nan,nan,38.422635,-90.241507,412.2062378,358.2062378,109.18126128144
2796,121330046800, ,0.0,nan,BCS,"WEB; ""Luise Tice"" yellowpage add, zillow",9/19/2008 0:00:00,15.0,nan,nan,38.367686,-90.116917,579.9751587,564.9751587,172.20442837176
2797,121330048100,nan,0.0,nan,ZPK,PBK 72,3/4/2008 0:00:00,75.0,nan,nan,38.288986,-89.971764,435.603363,360.603363,109.91190504240001
2798,121330049100,nan,0.0,nan,ZPK,no supporting info,3/11/2008 0:00:00,33.0,nan,nan,38.296819,-89.995987,466.6211243,433.6211243,132.16771868664
2799,121330059300,nan,0.0,nan,ZPK,placed on central plat on structure,3/4/2008 0:00:00,19.0,nan,nan,38.254322,-89.995622,448.042572,429.042572,130.7721759456
2800,121330060600,nan,0.0,nan,ZPK,PBK 95 initials HB,3/11/2008 0:00:00,32.0,nan,nan,38.236381,-89.998813,432.6584778,400.6584778,122.12070403344
2801,121330062400,nan,0.0,nan,ZPK,no supporting info,3/11/2008 0:00:00,52.0,nan,nan,38.262199,-89.951943,477.3414001,425.3414001,129.64405875048
2802,121332028600,nan,0.0,nan,ZPK,no supporting info,3/24/2008 0:00:00,90.0,nan,nan,38.305555,-90.005833,460.3626404,370.3626404,112.88653279392
2803,121332040100,nan,0.0,nan,ZPK,PBK 69,3/4/2008 0:00:00,69.0,nan,nan,38.253361,-89.938,406.9761658,337.9761658,103.01513533584
2804,121332065200,nan,0.0,nan,JMW,"no supporting data, log unsuitable for location",9/16/2010 0:00:00,30.0,nan,nan,38.422505,-90.266809,400.6307983,370.6307983,112.96826732184
2805,121332065500,nan,0.0,nan,JMW,no supporting data,9/16/2010 0:00:00,32.0,nan,nan,38.381372,-90.256502,525.9906616,493.99066159999995,150.56835365568
2806,121332066800,nan,0.0,nan,ZPK,confirmed with Haudrich,2/25/2008 0:00:00,80.0,nan,nan,38.29098,-89.948878,481.9768982,401.9768982,122.52255857136001
2807,121332067700,nan,0.0,nan,ZPK,"ISWS log, estimated by mileages",3/18/2008 0:00:00,60.0,nan,nan,38.308262,-90.008203,469.9328918,409.9328918,124.94754542064
2808,121332068400, ,0.0,nan,JMW,"yellow pages, google, DOQ",9/23/2010 0:00:00,48.0,nan,nan,38.3818,-90.246152,567.2596436,519.2596436,158.27033936928
2809,121332070600,nan,0.0,nan,ZPK,PBK 78,2/19/2008 0:00:00,22.0,nan,nan,38.243803,-89.972004,421.3780212,399.3780212,121.73042086176
2810,121332074600,nan,0.0,nan,ZPK,PBK 95 initials EH,3/4/2008 0:00:00,30.0,nan,nan,38.248935,-89.975177,418.4711304,388.4711304,118.40600054592001
2811,121332075300,nan,0.0,nan,ZPK,PBK 95 initials EH,3/18/2008 0:00:00,34.0,nan,nan,38.248726,-89.966058,412.5902405,378.5902405,115.3943053044
2812,121332078400,nan,0.0,nan,CM,nan,nan,50.0,nan,nan,38.243285,-90.006514,454.929657,404.929657,123.42255945360002
2813,121332079600,nan,0.0,nan,ZPK,"PBK 75, 78, 81",2/26/2008 0:00:00,42.0,nan,nan,38.285839,-89.974696,446.3421326,404.3421326,123.24348201648002
2814,121332084000,nan,0.0,nan,ZPK,PBK 78,2/26/2008 0:00:00,30.0,nan,nan,38.286773,-89.94142,430.9949951,400.9949951,122.22327450648
2815,121332084100,nan,0.0,nan,nan,no supporting info,nan,25.0,nan,nan,38.25703,-89.97212,411.3092957,386.3092957,117.74707332936
2816,121332091500, ,0.0,nan,BCS,"""H. & C. Orville"" in PBK",8/13/2008 0:00:00,35.0,nan,nan,38.381483,-90.119465,588.4852295,553.4852295,168.7022979516
2817,121332091600, ,0.0,nan,ACP,house on 1978 PBK,2/17/2008 0:00:00,50.0,nan,nan,38.380032,-90.112069,568.1560669,518.1560669,157.93396919112
2818,121332091700, ,0.0,nan,BCS,"""L. B. Otten"" in PBK",8/13/2008 0:00:00,30.0,nan,nan,38.379464,-90.110286,563.5293579,533.5293579,162.61974828792003
2819,121332092200, ,0.0,nan,BCS,WEB yellowpages add; PBK match,10/3/2008 0:00:00,50.0,nan,nan,38.367508,-90.107657,552.8985596,502.8985596,153.28348096608002
